anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid,fakeornot
FALSE,80294228,icanursarah,2902,2327971512,"Hp sampai dengan selamat, berfungsi dengan baik, tiada kendala Alhamdulillah, semoga awet dan mantap jiwaa",922,2182,1588431497,1,2767211185,1588431497,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,80295702,fake
FALSE,80294228,icanursarah,2902,2325993622,"Mantabbagusmantabbagus yuhuuy
Recommended seller yuhuuuyyy",922,2182,1588403926,1,2767211185,1588403926,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,80295702,fake
FALSE,80294228,icanursarah,2902,2325999143,"Mantabbagusmantabbagus yuhuuy
Recommended seller yuhuuuyyy",922,2182,1588403984,1,2767211185,1588403984,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,80295702,fake
FALSE,80294228,icanursarah,2902,2326001075,"Mantabbagusmantabbagus yuhuuy
Recommended seller yuhuuuyyy",922,2182,1588404004,1,2767211185,1588404004,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,80295702,fake
FALSE,16191982,rrp0811,2678,2361588821,"Ini paket pertamaku beli disini.
Cepat
Tanggap
Akurat
Tepat
Bagus
Oke
Semoga aja tanpa ada masalah ditengah jalan.

JsjsjjdjdhshwjshzvzvvzhajaoaozoozooaooeorodozbbzbzbajzjbzbzbzbzbBzbxbnakzlzkbdbskzkxbsboazkebbdjawbdboXbjslcksnabbzbjajzbsbznskLakzbxbzbajsjsjkxjxxbsbebbxbxbxbsbwjaoaowopspxllLNcbsbjwj",284,680,1589011931,1,4822872755,1589011931,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,16193318,fake
FALSE,25198157,novianw18,2678,2458556062,Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..,284,680,1590704721,1,4822872755,1590704721,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,25199493,fake
FALSE,242557854,sipigum_beauty_store,2678,2449130417,"Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..
Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..",284,680,1590502971,1,4822872755,1590502971,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,242563475,fake
FALSE,242557854,sipigum_beauty_store,2678,2449138373,"Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..
Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..",284,680,1590503120,1,4822872755,1590503120,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,242563475,fake
FALSE,242557854,sipigum_beauty_store,2342,2462064454,"Mantap betuul
Udahlah murah, respon cepat, proses cepat, seller ramahh
Mantep parah dah pokoknya
Wajib langganan disini!!
Mantap betuul
Udahlah murah, respon cepat, proses cepat, seller ramahh
Mantep parah dah pokoknya
Wajib langganan disini!!",163,187,1590755161,1,2860971114,1590755161,,NETFLIX PREMIUM PRIVATE ULTRA HD FULL GAR,1,1195,0,3,4,15,1740,5,83837710,242563475,fake
FALSE,242557854,sipigum_beauty_store,2183,2449128709,"Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..
Seller selalu mantapp..
Udah orederann yang ke belasan kalinya
Tidak pernah mengecewakann
Recommend seller and store..",312,595,1590502941,1,3130149342,1590502941,,NETFLIX PREMIUM 1 BULAN PRIVATE AKUN(BACA DESC BOX SEBELUM O,1,2784,4,12,10,62,2470,5,116640183,242563475,fake
